subcarrier_0,subcarrier_4,subcarrier_5,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_12,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_23,subcarrier_24,subcarrier_25,subcarrier_26,subcarrier_27,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_37,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_49,subcarrier_51,subcarrier_53,subcarrier_76,subcarrier_78,subcarrier_79,subcarrier_81,subcarrier_82,subcarrier_83,subcarrier_85,subcarrier_87,subcarrier_88,subcarrier_89,subcarrier_90,subcarrier_91,subcarrier_92,subcarrier_94,subcarrier_95,subcarrier_96,subcarrier_97,subcarrier_99,subcarrier_100,subcarrier_101,subcarrier_104,subcarrier_105,subcarrier_106,subcarrier_107,subcarrier_108,subcarrier_110,subcarrier_111,subcarrier_113,subcarrier_114,subcarrier_115,subcarrier_116,subcarrier_117,subcarrier_119,subcarrier_120,subcarrier_121,subcarrier_122,subcarrier_123,subcarrier_124,subcarrier_125,subcarrier_126,subcarrier_127,timestamp
-11.0,27.0,3.0,13.0,22.0,7.0,15.0,19.0,3.0,13.0,7.0,14.0,5.0,1.0,6.0,5.0,5.0,4.0,1.0,0.0,-5.0,6.0,-6.0,11.0,-4.0,7.0,5.0,10.0,-2.0,8.0,1.0,11.0,-3.0,3.0,-1.0,3.0,9.0,4.0,4.0,17.0,15.0,4.0,6.0,12.0,3.0,5.0,5.0,15.0,12.0,24.0,3.0,32.0,23.0,9.0,30.0,3.0,2.0,25.0,6.0,39.0,10.0,32.0,16.0,33.0,29.0,13.0,18.0,35.0,15.0,45.0,2.0,15.0,25.0,6.0,24.0,6.0,27.0,0.0,33.0,4.0,1390.26
9.0,-14.0,12.0,12.0,-8.0,12.0,-14.0,-10.0,7.0,-12.0,7.0,-5.0,-7.0,0.0,-6.0,3.0,2.0,-3.0,5.0,-1.0,-4.0,-2.0,-2.0,-2.0,-1.0,-10.0,-9.0,-6.0,-1.0,-8.0,6.0,-7.0,4.0,-2.0,3.0,-8.0,-16.0,-6.0,-5.0,-6.0,-7.0,13.0,11.0,-13.0,8.0,18.0,8.0,-16.0,11.0,-13.0,12.0,-15.0,-16.0,14.0,-29.0,10.0,19.0,-21.0,14.0,-25.0,18.0,-29.0,19.0,-27.0,-16.0,19.0,11.0,-30.0,22.0,-30.0,21.0,19.0,-22.0,15.0,-26.0,16.0,-18.0,16.0,-23.0,11.0,1390.27
-34.0,26.0,-1.0,-1.0,20.0,-3.0,14.0,11.0,-4.0,7.0,2.0,7.0,-3.0,-1.0,-2.0,1.0,-1.0,-5.0,-2.0,-6.0,5.0,7.0,-3.0,3.0,-4.0,4.0,2.0,5.0,-2.0,-1.0,-10.0,1.0,-6.0,4.0,-2.0,6.0,4.0,10.0,5.0,10.0,15.0,-6.0,-7.0,15.0,-4.0,-3.0,-3.0,11.0,-6.0,18.0,-1.0,22.0,22.0,-2.0,23.0,-5.0,-1.0,29.0,-5.0,33.0,0.0,27.0,-6.0,33.0,37.0,-2.0,-6.0,33.0,-1.0,38.0,-2.0,2.0,28.0,-4.0,36.0,-5.0,33.0,2.0,22.0,-1.0,1390.27
94.0,-10.0,-15.0,-12.0,-7.0,-19.0,-6.0,-7.0,-17.0,-1.0,-15.0,-7.0,0.0,-1.0,-6.0,-2.0,-6.0,1.0,-5.0,6.0,-2.0,-6.0,3.0,1.0,2.0,-1.0,3.0,1.0,8.0,-2.0,11.0,-1.0,6.0,0.0,4.0,4.0,1.0,-1.0,-2.0,-16.0,-6.0,-14.0,-12.0,-8.0,-9.0,-23.0,-18.0,-12.0,-24.0,-7.0,-17.0,-9.0,-18.0,-27.0,-11.0,-25.0,-28.0,-10.0,-33.0,-10.0,-27.0,-13.0,-37.0,-12.0,-17.0,-38.0,-35.0,-11.0,-36.0,-6.0,-47.0,-32.0,-11.0,-30.0,-11.0,-28.0,-7.0,-37.0,-17.0,-25.0,1390.28
94.0,-15.0,20.0,18.0,-4.0,7.0,1.0,-5.0,9.0,2.0,10.0,-3.0,-1.0,4.0,-5.0,5.0,1.0,-4.0,0.0,-6.0,1.0,0.0,-11.0,0.0,-3.0,-4.0,-5.0,-2.0,-6.0,-3.0,-11.0,-8.0,-2.0,-4.0,-1.0,1.0,-5.0,-4.0,2.0,-1.0,-10.0,10.0,14.0,-5.0,18.0,18.0,20.0,-3.0,14.0,-4.0,19.0,-6.0,-3.0,17.0,-4.0,28.0,33.0,-8.0,33.0,-7.0,28.0,-14.0,41.0,-5.0,-13.0,32.0,32.0,-8.0,36.0,-8.0,25.0,27.0,-9.0,35.0,-6.0,36.0,-2.0,34.0,1.0,24.0,1390.28
-5.0,-9.0,-8.0,-7.0,-2.0,-9.0,-3.0,8.0,-8.0,10.0,-8.0,7.0,12.0,-10.0,15.0,-12.0,-15.0,21.0,-13.0,24.0,-12.0,-14.0,28.0,-7.0,30.0,-9.0,-4.0,-5.0,24.0,4.0,22.0,6.0,22.0,9.0,21.0,17.0,15.0,9.0,12.0,15.0,10.0,4.0,-4.0,8.0,-8.0,-1.0,-2.0,8.0,-7.0,17.0,-21.0,16.0,8.0,-21.0,12.0,-24.0,-16.0,3.0,-27.0,7.0,-24.0,-2.0,-29.0,-8.0,-14.0,-27.0,-22.0,-11.0,-26.0,-23.0,-29.0,-26.0,-7.0,-21.0,-19.0,-24.0,-6.0,-17.0,-19.0,-15.0,1390.3
-6.0,-2.0,-20.0,-19.0,1.0,-17.0,2.0,6.0,-17.0,5.0,-17.0,4.0,10.0,-23.0,10.0,-18.0,-21.0,12.0,-25.0,6.0,-26.0,-25.0,9.0,-22.0,5.0,-24.0,-23.0,-21.0,3.0,-17.0,4.0,-15.0,2.0,-14.0,3.0,-5.0,-4.0,-1.0,2.0,-26.0,-28.0,30.0,33.0,-25.0,35.0,33.0,37.0,-23.0,33.0,-21.0,35.0,-21.0,-17.0,27.0,-13.0,26.0,19.0,-14.0,14.0,-11.0,4.0,-9.0,1.0,-6.0,-6.0,-4.0,-9.0,-7.0,-7.0,-1.0,-13.0,-16.0,-7.0,-14.0,-6.0,-13.0,-5.0,-17.0,-4.0,-21.0,1390.31
-34.0,-12.0,-13.0,-12.0,-9.0,-12.0,-5.0,-7.0,-17.0,-8.0,-19.0,-6.0,-8.0,-19.0,-4.0,-19.0,-25.0,-3.0,-26.0,-4.0,-27.0,-25.0,-7.0,-26.0,-6.0,-27.0,-22.0,-20.0,-6.0,-14.0,-4.0,-15.0,-2.0,-11.0,-6.0,-9.0,-5.0,-3.0,1.0,5.0,5.0,39.0,41.0,9.0,42.0,39.0,38.0,10.0,40.0,12.0,38.0,14.0,9.0,30.0,4.0,27.0,23.0,1.0,21.0,-1.0,9.0,-3.0,8.0,-3.0,-6.0,-3.0,-1.0,-12.0,-7.0,-11.0,-7.0,-4.0,-12.0,-6.0,-15.0,-7.0,-18.0,-12.0,-19.0,-10.0,1390.31
-6.0,-7.0,-16.0,-15.0,-2.0,-16.0,-1.0,7.0,-18.0,6.0,-19.0,8.0,3.0,-22.0,10.0,-21.0,-24.0,6.0,-27.0,1.0,-26.0,-23.0,9.0,-22.0,4.0,-25.0,-18.0,-19.0,4.0,-19.0,3.0,-15.0,5.0,-11.0,-1.0,-4.0,2.0,-3.0,0.0,-23.0,-26.0,33.0,34.0,-24.0,33.0,41.0,34.0,-20.0,37.0,-15.0,28.0,-18.0,-13.0,25.0,-14.0,23.0,20.0,-11.0,17.0,-10.0,8.0,-4.0,0.0,-2.0,-6.0,-3.0,-5.0,-10.0,-10.0,-2.0,-14.0,-14.0,-7.0,-21.0,-6.0,-17.0,-3.0,-19.0,-8.0,-17.0,1390.32
94.0,-17.0,-6.0,-8.0,-13.0,-6.0,-11.0,-11.0,-9.0,-13.0,-14.0,-11.0,-18.0,-17.0,-12.0,-17.0,-17.0,-19.0,-22.0,-17.0,-21.0,-15.0,-19.0,-20.0,-18.0,-18.0,-13.0,-12.0,-13.0,-12.0,-11.0,-8.0,-9.0,-6.0,-6.0,-2.0,-2.0,-1.0,-3.0,13.0,14.0,35.0,37.0,19.0,40.0,38.0,36.0,18.0,35.0,15.0,32.0,15.0,12.0,29.0,14.0,23.0,17.0,10.0,19.0,0.0,13.0,-1.0,7.0,-5.0,-9.0,3.0,-1.0,-12.0,-3.0,-13.0,1.0,-3.0,-16.0,-1.0,-18.0,-1.0,-19.0,-3.0,-18.0,-2.0,1390.33
94.0,-1.0,-11.0,-9.0,-5.0,-9.0,1.0,-3.0,-10.0,0.0,-14.0,-1.0,4.0,-18.0,4.0,-10.0,-11.0,1.0,-18.0,-9.0,-25.0,-14.0,-3.0,-20.0,-6.0,-15.0,-19.0,-12.0,5.0,-4.0,-4.0,-17.0,-10.0,-9.0,5.0,-1.0,-8.0,-3.0,-2.0,-5.0,-9.0,26.0,26.0,-10.0,31.0,32.0,27.0,-2.0,31.0,-10.0,32.0,-9.0,-5.0,25.0,1.0,16.0,13.0,-12.0,11.0,-3.0,2.0,-2.0,-1.0,-5.0,-7.0,5.0,0.0,0.0,-2.0,-17.0,-6.0,-11.0,-11.0,-1.0,-7.0,-10.0,-10.0,-7.0,-7.0,-12.0,1390.33
-5.0,17.0,-2.0,1.0,13.0,-3.0,13.0,17.0,-4.0,12.0,-2.0,16.0,17.0,-2.0,12.0,4.0,0.0,24.0,0.0,29.0,1.0,7.0,22.0,3.0,10.0,2.0,-5.0,-3.0,11.0,-2.0,15.0,-1.0,9.0,-5.0,7.0,-3.0,3.0,-5.0,3.0,-33.0,-28.0,-23.0,-25.0,-39.0,-18.0,-16.0,-17.0,-32.0,-22.0,-40.0,-16.0,-25.0,-33.0,-13.0,-18.0,-13.0,1.0,-13.0,-4.0,-1.0,-9.0,-2.0,1.0,-3.0,-8.0,-10.0,-12.0,12.0,-14.0,7.0,-5.0,6.0,16.0,-15.0,8.0,-5.0,8.0,-12.0,8.0,-5.0,1390.34
-34.0,6.0,-9.0,-14.0,8.0,-9.0,13.0,12.0,-11.0,11.0,-2.0,10.0,10.0,-9.0,18.0,-15.0,-9.0,7.0,-13.0,10.0,-12.0,-5.0,13.0,-7.0,11.0,-6.0,-23.0,-7.0,15.0,-21.0,0.0,-8.0,7.0,-11.0,1.0,1.0,-10.0,-6.0,3.0,-32.0,-40.0,2.0,5.0,-43.0,4.0,0.0,1.0,-33.0,6.0,-32.0,6.0,-29.0,-33.0,7.0,-23.0,-2.0,8.0,-11.0,5.0,-11.0,-2.0,-7.0,-7.0,-1.0,-4.0,-15.0,-12.0,-3.0,-19.0,-3.0,-19.0,-4.0,6.0,-20.0,8.0,-14.0,2.0,-12.0,0.0,-12.0,1390.34
-98.0,16.0,14.0,9.0,11.0,12.0,5.0,8.0,7.0,4.0,6.0,1.0,3.0,5.0,1.0,1.0,3.0,0.0,-2.0,1.0,3.0,6.0,-8.0,-6.0,-5.0,-5.0,4.0,-3.0,-9.0,-5.0,-5.0,3.0,-6.0,-1.0,-7.0,4.0,-4.0,-1.0,3.0,7.0,8.0,5.0,6.0,10.0,4.0,8.0,6.0,12.0,8.0,15.0,10.0,15.0,19.0,13.0,20.0,8.0,12.0,20.0,20.0,19.0,20.0,19.0,25.0,19.0,20.0,22.0,25.0,16.0,14.0,17.0,18.0,20.0,16.0,17.0,9.0,16.0,18.0,21.0,22.0,18.0,1390.35
122.0,3.0,-22.0,-21.0,6.0,-26.0,4.0,-2.0,-18.0,10.0,-9.0,5.0,6.0,0.0,-6.0,-13.0,-5.0,8.0,-10.0,-4.0,-9.0,9.0,5.0,5.0,9.0,-6.0,5.0,2.0,1.0,3.0,2.0,4.0,10.0,10.0,2.0,10.0,3.0,6.0,4.0,0.0,4.0,-12.0,-15.0,6.0,-14.0,-18.0,-21.0,6.0,-22.0,10.0,-25.0,10.0,2.0,-26.0,16.0,-26.0,-33.0,15.0,-32.0,11.0,-29.0,10.0,-31.0,15.0,14.0,-33.0,-35.0,10.0,-33.0,15.0,-30.0,-38.0,8.0,-34.0,13.0,-35.0,7.0,-29.0,10.0,-34.0,1390.35
-50.0,0.0,0.0,15.0,-3.0,8.0,2.0,-15.0,8.0,-19.0,-2.0,-16.0,-17.0,4.0,-8.0,7.0,4.0,-30.0,4.0,-28.0,4.0,1.0,-29.0,-4.0,-28.0,-5.0,-4.0,-2.0,-17.0,-12.0,-16.0,-19.0,-19.0,-14.0,-11.0,-13.0,-19.0,-13.0,-9.0,-8.0,-5.0,-8.0,-5.0,-16.0,-3.0,-3.0,6.0,-13.0,0.0,-4.0,4.0,-16.0,-8.0,15.0,-25.0,-3.0,20.0,-4.0,11.0,-4.0,25.0,-1.0,22.0,-5.0,-7.0,29.0,22.0,-4.0,26.0,5.0,26.0,25.0,-1.0,16.0,3.0,17.0,2.0,16.0,5.0,13.0,1390.36
-50.0,-23.0,2.0,10.0,-10.0,26.0,-3.0,-14.0,3.0,-19.0,3.0,-2.0,-9.0,9.0,-2.0,4.0,-7.0,-9.0,-4.0,-4.0,-5.0,6.0,-4.0,-1.0,-1.0,1.0,-4.0,-4.0,4.0,-2.0,-5.0,-6.0,-3.0,-13.0,5.0,-7.0,-9.0,-9.0,-11.0,-9.0,-5.0,8.0,8.0,-16.0,4.0,16.0,5.0,-7.0,15.0,-25.0,9.0,-26.0,-14.0,9.0,-21.0,16.0,13.0,-21.0,24.0,-32.0,26.0,-21.0,12.0,-29.0,-30.0,32.0,18.0,-19.0,24.0,-28.0,37.0,26.0,-23.0,25.0,-20.0,13.0,-19.0,21.0,-7.0,21.0,1390.36
20.0,21.0,8.0,7.0,18.0,-1.0,8.0,14.0,7.0,12.0,3.0,9.0,6.0,-2.0,2.0,-3.0,7.0,-3.0,-1.0,-8.0,-1.0,4.0,-1.0,0.0,-9.0,-1.0,1.0,0.0,-2.0,5.0,-4.0,0.0,-3.0,8.0,-6.0,-2.0,7.0,6.0,5.0,9.0,16.0,-5.0,-1.0,16.0,6.0,4.0,-2.0,17.0,8.0,21.0,6.0,25.0,27.0,4.0,30.0,10.0,4.0,33.0,8.0,30.0,5.0,31.0,6.0,32.0,37.0,14.0,9.0,32.0,17.0,26.0,11.0,7.0,40.0,5.0,29.0,8.0,32.0,-4.0,27.0,3.0,1390.37
-30.0,-20.0,14.0,6.0,-15.0,14.0,-13.0,-12.0,2.0,-1.0,0.0,-11.0,-2.0,4.0,-3.0,-5.0,-1.0,-2.0,1.0,-3.0,0.0,-2.0,6.0,-2.0,-1.0,-1.0,-7.0,-5.0,-1.0,-7.0,-6.0,-8.0,0.0,-7.0,-2.0,0.0,-5.0,-14.0,3.0,-12.0,-7.0,10.0,10.0,-12.0,8.0,5.0,12.0,-16.0,7.0,-14.0,11.0,-15.0,-27.0,13.0,-26.0,12.0,12.0,-23.0,15.0,-23.0,15.0,-23.0,17.0,-31.0,-34.0,15.0,15.0,-33.0,20.0,-26.0,17.0,13.0,-21.0,20.0,-26.0,13.0,-24.0,12.0,-28.0,12.0,1390.37
94.0,-16.0,-18.0,-16.0,-13.0,-19.0,-15.0,-3.0,-17.0,3.0,-7.0,-3.0,-8.0,10.0,-3.0,1.0,-8.0,-4.0,-3.0,-3.0,2.0,9.0,7.0,0.0,-2.0,0.0,4.0,-5.0,2.0,-6.0,7.0,8.0,-1.0,6.0,3.0,3.0,5.0,-1.0,-1.0,-10.0,-17.0,-10.0,-9.0,-17.0,-8.0,-11.0,-10.0,-16.0,-17.0,-23.0,-11.0,-21.0,-23.0,-16.0,-28.0,-17.0,-17.0,-15.0,-21.0,-15.0,-28.0,-15.0,-27.0,-29.0,-25.0,-26.0,-26.0,-27.0,-24.0,-21.0,-25.0,-23.0,-25.0,-14.0,-11.0,-20.0,-24.0,-27.0,-17.0,-23.0,1390.38
108.0,-26.0,2.0,1.0,-27.0,1.0,-15.0,-5.0,-1.0,-11.0,1.0,-5.0,-5.0,5.0,-7.0,-1.0,-4.0,-2.0,-5.0,-4.0,4.0,-3.0,4.0,3.0,3.0,-5.0,0.0,-4.0,7.0,2.0,4.0,-7.0,5.0,-5.0,-3.0,-7.0,-1.0,-5.0,-7.0,-11.0,-20.0,9.0,6.0,-21.0,-2.0,10.0,0.0,-24.0,-3.0,-23.0,4.0,-28.0,-21.0,5.0,-32.0,4.0,7.0,-32.0,3.0,-37.0,1.0,-35.0,5.0,-43.0,-36.0,1.0,-4.0,-32.0,-2.0,-30.0,2.0,2.0,-34.0,7.0,-25.0,6.0,-32.0,-4.0,-27.0,7.0,1390.4
-128.0,-20.0,9.0,-1.0,-15.0,-1.0,-12.0,-21.0,3.0,-19.0,-1.0,-12.0,-7.0,-2.0,-4.0,9.0,1.0,7.0,0.0,-3.0,-10.0,0.0,4.0,-5.0,3.0,7.0,7.0,-8.0,1.0,-5.0,-3.0,-6.0,-4.0,-6.0,-1.0,-10.0,-6.0,-9.0,-5.0,-10.0,-14.0,6.0,-1.0,-20.0,5.0,-1.0,9.0,-27.0,1.0,-28.0,9.0,-26.0,-32.0,2.0,-25.0,9.0,6.0,-36.0,9.0,-34.0,9.0,-36.0,4.0,-52.0,-36.0,1.0,6.0,-32.0,0.0,-41.0,2.0,10.0,-32.0,12.0,-30.0,0.0,-42.0,12.0,-27.0,12.0,1390.4
-98.0,-9.0,16.0,16.0,-13.0,13.0,-13.0,-16.0,17.0,-15.0,16.0,-21.0,-18.0,18.0,-16.0,20.0,15.0,-19.0,21.0,-16.0,19.0,17.0,-17.0,22.0,-14.0,20.0,18.0,15.0,-11.0,9.0,-8.0,12.0,-7.0,8.0,-3.0,2.0,1.0,0.0,-2.0,13.0,14.0,-37.0,-35.0,16.0,-32.0,-35.0,-35.0,11.0,-36.0,12.0,-34.0,10.0,8.0,-28.0,9.0,-26.0,-19.0,7.0,-16.0,1.0,-10.0,3.0,-6.0,1.0,2.0,3.0,5.0,0.0,9.0,-2.0,11.0,10.0,0.0,13.0,-1.0,13.0,-7.0,15.0,-8.0,15.0,1390.41
122.0,17.0,6.0,2.0,20.0,5.0,15.0,22.0,11.0,13.0,8.0,20.0,24.0,11.0,18.0,12.0,11.0,23.0,19.0,14.0,13.0,17.0,19.0,7.0,16.0,-2.0,5.0,-7.0,15.0,8.0,14.0,4.0,4.0,0.0,11.0,-2.0,0.0,-7.0,4.0,-28.0,-28.0,-22.0,-22.0,-28.0,-20.0,-23.0,-17.0,-32.0,-24.0,-28.0,-17.0,-35.0,-25.0,-20.0,-27.0,-16.0,-4.0,-16.0,-16.0,-13.0,-2.0,-10.0,-7.0,-5.0,-4.0,-10.0,-7.0,3.0,-4.0,3.0,0.0,2.0,11.0,3.0,8.0,1.0,9.0,1.0,11.0,5.0,1390.42
102.0,-10.0,11.0,14.0,-15.0,10.0,-13.0,-13.0,17.0,-14.0,18.0,-16.0,-14.0,16.0,-16.0,22.0,20.0,-19.0,21.0,-21.0,23.0,21.0,-16.0,16.0,-12.0,16.0,21.0,14.0,-6.0,12.0,-11.0,10.0,-5.0,4.0,-3.0,2.0,2.0,0.0,-2.0,19.0,16.0,-36.0,-36.0,19.0,-33.0,-34.0,-34.0,15.0,-33.0,14.0,-32.0,18.0,11.0,-23.0,12.0,-22.0,-19.0,7.0,-13.0,9.0,-10.0,5.0,-5.0,0.0,-2.0,0.0,8.0,3.0,11.0,-2.0,7.0,12.0,-7.0,12.0,-4.0,12.0,-1.0,12.0,-3.0,10.0,1390.42
-50.0,-15.0,3.0,2.0,-20.0,1.0,-20.0,-19.0,1.0,-23.0,-1.0,-25.0,-23.0,0.0,-22.0,1.0,-4.0,-25.0,0.0,-29.0,-1.0,3.0,-22.0,5.0,-19.0,4.0,3.0,3.0,-18.0,0.0,-12.0,6.0,-9.0,5.0,-3.0,1.0,5.0,0.0,3.0,24.0,24.0,-24.0,-24.0,34.0,-24.0,-23.0,-24.0,27.0,-25.0,27.0,-25.0,24.0,22.0,-21.0,18.0,-17.0,-15.0,10.0,-11.0,7.0,-5.0,3.0,-3.0,3.0,-2.0,0.0,7.0,-4.0,7.0,-5.0,8.0,11.0,-8.0,11.0,-10.0,9.0,-10.0,10.0,-8.0,9.0,1390.43
20.0,-17.0,4.0,-1.0,-21.0,-3.0,-21.0,-19.0,-1.0,-22.0,1.0,-24.0,-26.0,1.0,-28.0,-1.0,1.0,-30.0,2.0,-25.0,0.0,2.0,-26.0,2.0,-26.0,4.0,3.0,5.0,-13.0,1.0,-7.0,0.0,-7.0,2.0,-7.0,2.0,2.0,1.0,1.0,31.0,35.0,-6.0,-9.0,37.0,-7.0,-8.0,-8.0,33.0,-9.0,27.0,-13.0,34.0,28.0,-8.0,26.0,-10.0,-6.0,20.0,-4.0,7.0,-2.0,7.0,0.0,-1.0,0.0,3.0,3.0,-7.0,3.0,-6.0,7.0,8.0,-9.0,5.0,-11.0,7.0,-16.0,5.0,-14.0,-1.0,1390.43
-30.0,15.0,-5.0,-1.0,16.0,-3.0,17.0,22.0,0.0,20.0,-2.0,23.0,22.0,-2.0,23.0,-1.0,-6.0,26.0,-3.0,25.0,-5.0,-6.0,22.0,-2.0,18.0,-6.0,-3.0,-5.0,10.0,-8.0,13.0,-8.0,7.0,-4.0,1.0,-2.0,-2.0,-5.0,-2.0,-30.0,-36.0,10.0,11.0,-35.0,14.0,15.0,15.0,-33.0,13.0,-29.0,12.0,-29.0,-29.0,14.0,-24.0,10.0,11.0,-18.0,3.0,-7.0,2.0,-8.0,0.0,-5.0,0.0,-5.0,-5.0,8.0,-5.0,7.0,-4.0,-7.0,8.0,-11.0,12.0,-9.0,10.0,-7.0,11.0,-2.0,1390.44
94.0,7.0,13.0,15.0,1.0,15.0,1.0,5.0,19.0,4.0,17.0,5.0,4.0,24.0,2.0,22.0,24.0,6.0,25.0,4.0,25.0,26.0,5.0,22.0,6.0,19.0,16.0,14.0,5.0,12.0,3.0,10.0,5.0,8.0,5.0,6.0,-2.0,-3.0,-3.0,-15.0,-14.0,-31.0,-34.0,-17.0,-32.0,-34.0,-30.0,-15.0,-33.0,-15.0,-31.0,-11.0,-16.0,-25.0,-11.0,-22.0,-20.0,-8.0,-14.0,-4.0,-10.0,-1.0,-8.0,-2.0,2.0,-1.0,7.0,6.0,4.0,9.0,8.0,8.0,8.0,6.0,7.0,6.0,6.0,11.0,5.0,13.0,1390.44
108.0,-15.0,-15.0,-15.0,-14.0,-17.0,-14.0,-14.0,-19.0,-13.0,-17.0,-18.0,-17.0,-23.0,-18.0,-23.0,-23.0,-23.0,-23.0,-20.0,-22.0,-22.0,-22.0,-14.0,-16.0,-17.0,-13.0,-14.0,-11.0,-10.0,-10.0,-7.0,-9.0,-6.0,-9.0,-4.0,0.0,1.0,5.0,31.0,35.0,21.0,22.0,36.0,22.0,24.0,22.0,35.0,18.0,35.0,18.0,30.0,26.0,16.0,24.0,11.0,13.0,18.0,14.0,7.0,7.0,6.0,3.0,3.0,-4.0,2.0,-1.0,-8.0,0.0,-12.0,-3.0,-4.0,-14.0,-4.0,-11.0,-4.0,-16.0,-7.0,-15.0,-4.0,1390.45
-128.0,-13.0,-11.0,-12.0,-15.0,-13.0,-16.0,-16.0,-14.0,-15.0,-13.0,-17.0,-18.0,-16.0,-16.0,-15.0,-16.0,-20.0,-17.0,-21.0,-17.0,-17.0,-24.0,-14.0,-14.0,-12.0,-13.0,-10.0,-10.0,-7.0,-8.0,-11.0,-10.0,-3.0,-6.0,-1.0,-2.0,2.0,6.0,31.0,32.0,13.0,13.0,31.0,17.0,13.0,13.0,31.0,13.0,33.0,13.0,29.0,26.0,10.0,19.0,7.0,9.0,19.0,3.0,7.0,2.0,4.0,3.0,-2.0,-4.0,0.0,2.0,-8.0,0.0,-10.0,-1.0,0.0,-13.0,-3.0,-12.0,-2.0,-16.0,-3.0,-14.0,-5.0,1390.45
76.0,11.0,6.0,7.0,13.0,15.0,12.0,14.0,16.0,17.0,16.0,13.0,16.0,19.0,18.0,18.0,23.0,19.0,19.0,21.0,19.0,17.0,17.0,20.0,18.0,17.0,13.0,10.0,14.0,6.0,16.0,10.0,7.0,5.0,7.0,3.0,-2.0,-6.0,-3.0,-37.0,-36.0,-14.0,-13.0,-37.0,-13.0,-10.0,-9.0,-36.0,-11.0,-37.0,-9.0,-30.0,-25.0,-6.0,-24.0,-5.0,-7.0,-18.0,-9.0,-8.0,-5.0,-3.0,-1.0,-2.0,2.0,-2.0,-3.0,6.0,-1.0,8.0,-3.0,-5.0,12.0,-3.0,11.0,0.0,10.0,-3.0,11.0,3.0,1390.51
103.0,11.0,-15.0,-15.0,15.0,-14.0,12.0,20.0,-14.0,18.0,-15.0,20.0,22.0,-14.0,21.0,-18.0,-15.0,28.0,-16.0,23.0,-26.0,-18.0,18.0,-21.0,20.0,-16.0,-17.0,-13.0,14.0,-11.0,8.0,-11.0,6.0,-13.0,1.0,-7.0,-6.0,-2.0,-3.0,-11.0,-12.0,35.0,38.0,-14.0,36.0,40.0,37.0,-12.0,38.0,-10.0,35.0,-11.0,-9.0,29.0,-9.0,23.0,20.0,-7.0,18.0,-5.0,7.0,-4.0,3.0,-3.0,-2.0,-2.0,-8.0,2.0,-9.0,0.0,-11.0,-13.0,1.0,-16.0,1.0,-14.0,-1.0,-14.0,1.0,-10.0,1390.52
94.0,-1.0,-6.0,-15.0,-3.0,-16.0,4.0,-1.0,-19.0,-3.0,-16.0,0.0,-1.0,-17.0,6.0,-12.0,-16.0,-11.0,-28.0,-1.0,-14.0,-26.0,-6.0,-25.0,3.0,-12.0,-13.0,-14.0,-5.0,-26.0,-6.0,-11.0,-2.0,-5.0,-10.0,-1.0,-10.0,0.0,6.0,6.0,7.0,26.0,33.0,13.0,28.0,27.0,40.0,2.0,28.0,9.0,25.0,6.0,4.0,22.0,10.0,20.0,11.0,2.0,19.0,4.0,10.0,3.0,0.0,-2.0,-1.0,4.0,-11.0,-10.0,-4.0,-5.0,-8.0,-23.0,0.0,-8.0,-1.0,-11.0,-13.0,-5.0,-12.0,-9.0,1390.53
108.0,20.0,-2.0,-4.0,16.0,-2.0,15.0,25.0,-2.0,17.0,1.0,25.0,23.0,-1.0,23.0,-1.0,0.0,28.0,-1.0,26.0,-6.0,-5.0,23.0,-1.0,22.0,-4.0,-8.0,-8.0,15.0,-2.0,10.0,-6.0,10.0,-3.0,4.0,-3.0,-6.0,-4.0,-5.0,-30.0,-31.0,13.0,14.0,-34.0,15.0,13.0,15.0,-32.0,15.0,-29.0,13.0,-25.0,-24.0,11.0,-23.0,9.0,8.0,-11.0,5.0,-12.0,0.0,-3.0,3.0,-4.0,0.0,-1.0,-4.0,5.0,-9.0,2.0,-12.0,-14.0,8.0,-10.0,8.0,-7.0,7.0,-10.0,6.0,-6.0,1390.53
94.0,16.0,-3.0,0.0,17.0,0.0,14.0,21.0,3.0,18.0,3.0,22.0,26.0,1.0,24.0,3.0,0.0,30.0,-4.0,29.0,-1.0,-3.0,30.0,-1.0,24.0,-4.0,-4.0,-5.0,17.0,-5.0,10.0,-6.0,5.0,-6.0,7.0,-3.0,-5.0,-7.0,-2.0,-35.0,-40.0,3.0,3.0,-40.0,5.0,4.0,7.0,-38.0,8.0,-35.0,0.0,-28.0,-25.0,5.0,-27.0,6.0,3.0,-14.0,3.0,-9.0,1.0,-6.0,-3.0,-1.0,4.0,-6.0,-6.0,5.0,-9.0,5.0,-9.0,-10.0,11.0,-9.0,11.0,-7.0,8.0,-9.0,12.0,-3.0,1390.54
